,tm,tm_opp,match_type,match_round,stadium,stadium_HA,dte,match_result,goals_difference,goals_for,goals_against,weather,sh_for,sh_against
0,札幌,新潟,J1,第34節,東北電ス,A,2012/12/01,L,-3,1,4,雨,6,18
1,札幌,横浜FM,J1,第33節,札幌ド,H,2012/11/24,L,-2,0,2,屋内,3,18
2,札幌,鳥栖,J1,第32節,札幌ド,H,2012/11/17,L,-1,2,3,屋内,11,17
3,札幌,広島,J1,第31節,広島ビ,A,2012/11/07,L,-3,0,3,晴,4,19
4,札幌,FC東京,J1,第30節,味スタ,A,2012/10/27,L,-5,0,5,晴,9,18
5,札幌,鹿島,J1,第29節,札幌厚別,H,2012/10/20,D,0,0,0,曇時々雨,5,17
6,札幌,浦和,J1,第28節,埼玉,A,2012/10/06,W,1,2,1,晴,9,17
7,札幌,川崎F,J1,第27節,等々力,A,2012/09/29,L,-1,0,1,晴,6,20
8,札幌,大宮,J1,第26節,札幌厚別,H,2012/09/22,L,-5,0,5,晴のち雨,3,17
9,札幌,柏,J1,第25節,柏,A,2012/09/15,L,-2,1,3,晴,9,23
10,札幌,長野,天皇杯,2回戦,札幌厚別,H,2012/09/08,D,0,1,1,晴,16,14
11,札幌,清水,J1,第24節,札幌ド,H,2012/09/01,L,-2,0,2,屋内,6,12
12,札幌,G大阪,J1,第23節,万博,A,2012/08/25,L,-5,2,7,晴,2,26
13,札幌,神戸,J1,第22節,札幌厚別,H,2012/08/18,L,-2,2,4,晴,12,15
14,札幌,仙台,J1,第21節,札幌ド,H,2012/08/11,W,1,2,1,屋内,11,11
15,札幌,C大阪,J1,第20節,金鳥スタ,A,2012/08/04,L,-4,0,4,晴,11,14
16,札幌,名古屋,J1,第19節,札幌厚別,H,2012/07/28,W,1,2,1,晴,11,18
17,札幌,磐田,J1,第18節,ヤマハ,A,2012/07/14,L,-3,1,4,曇,6,23
18,札幌,新潟,J1,第17節,札幌厚別,H,2012/07/07,L,-1,0,1,晴,6,17
19,札幌,鳥栖,J1,第16節,ベアスタ,A,2012/06/30,L,-1,0,1,雨,8,14
20,札幌,G大阪,J1,第15節,札幌ド,H,2012/06/23,L,-4,0,4,屋内,4,17
21,札幌,仙台,J1,第14節,ユアスタ,A,2012/06/16,L,-3,1,4,雨,6,24
22,札幌,神戸,ナビ杯,予選(6),ホームズ,A,2012/06/09,D,0,2,2,曇のち晴,10,18
23,札幌,清水,ナビ杯,予選(5),札幌厚別,H,2012/06/06,L,-4,0,4,雨,1,13
24,札幌,広島,J1,第13節,札幌厚別,H,2012/05/26,L,-2,1,3,晴,9,11
25,札幌,鹿島,J1,第12節,カシマ,A,2012/05/19,L,-7,0,7,晴,11,21
26,札幌,大宮,ナビ杯,予選(4),NACK,A,2012/05/16,D,0,1,1,晴,11,15
27,札幌,FC東京,J1,第11節,札幌ド,H,2012/05/12,L,-1,0,1,屋内,11,11
28,札幌,横浜FM,J1,第10節,日産ス,A,2012/05/06,L,-1,1,2,晴,3,21
29,札幌,C大阪,J1,第9節,札幌厚別,H,2012/05/03,W,1,1,0,曇,9,14
30,札幌,大宮,J1,第8節,NACK,A,2012/04/28,L,-1,1,2,晴,16,15
31,札幌,川崎F,J1,第7節,札幌ド,H,2012/04/21,L,-1,2,3,屋内,8,20
32,札幌,鹿島,ナビ杯,予選(3),札幌ド,H,2012/04/18,L,-1,1,2,屋内,1,35
33,札幌,名古屋,J1,第6節,豊田ス,A,2012/04/14,L,-2,1,3,屋内,12,18
34,札幌,柏,J1,第5節,札幌ド,H,2012/04/07,L,-2,0,2,屋内,7,23
35,札幌,横浜FM,ナビ杯,予選(2),ニッパツ,A,2012/04/04,W,1,2,1,晴,7,20
36,札幌,清水,J1,第4節,アウスタ,A,2012/03/31,L,-1,0,1,晴,3,4
37,札幌,浦和,J1,第3節,札幌ド,H,2012/03/24,L,-1,1,2,屋内,11,11
38,札幌,新潟,ナビ杯,予選(1),札幌ド,H,2012/03/20,L,-1,0,1,屋内,18,11
39,札幌,神戸,J1,第2節,ホームズ,A,2012/03/17,L,-1,1,2,屋内,13,13
40,札幌,磐田,J1,第1節,札幌ド,H,2012/03/10,D,0,0,0,屋内,7,14
41,札幌,北九州,J2,第42節,札幌ド,H,2013/11/24,D,0,0,0,屋内,12,8
42,札幌,甲府,天皇杯,4回戦,うまスタ,A,2013/11/20,L,-1,0,1,曇,6,14
43,札幌,岐阜,J2,第41節,長良川,A,2013/11/17,W,3,3,0,晴一時雨,12,6
44,札幌,神戸,J2,第40節,札幌ド,H,2013/11/10,W,1,1,0,屋内,20,10
45,札幌,千葉,J2,第39節,札幌ド,H,2013/11/03,W,1,1,0,屋内,12,7
46,札幌,京都,J2,第38節,西京極,A,2013/10/27,L,-2,0,2,晴時々曇,7,5
47,札幌,山形,J2,第37節,札幌ド,H,2013/10/20,W,2,3,1,屋内,14,12
48,札幌,磐田,天皇杯,3回戦,ヤマハ,A,2013/10/13,W,1,1,0,晴,14,12
49,札幌,群馬,J2,第36節,札幌厚別,H,2013/10/06,L,-2,1,3,曇,12,16
50,札幌,熊本,J2,第35節,うまスタ,A,2013/09/29,L,-1,1,2,曇,14,8
51,札幌,長崎,J2,第34節,札幌厚別,H,2013/09/22,W,1,1,0,晴,8,4
