,tm,tm_opp,match_type,match_round,stadium,stadium_HA,dte,match_result,goals_difference,goals_for,goals_against,weather,sh_for,sh_against
0,札幌,鳥栖,J1,第34節,札幌ド,H,2017/12/02,W,1,3,2,屋内,9,7
1,札幌,G大阪,J1,第33節,吹田Ｓ,A,2017/11/26,W,1,1,0,曇,5,5
2,札幌,清水,J1,第32節,アイスタ,A,2017/11/18,W,2,2,0,雨のち曇,7,7
3,札幌,鹿島,J1,第31節,札幌ド,H,2017/10/29,L,-1,1,2,屋内,4,12
4,札幌,FC東京,J1,第30節,味スタ,A,2017/10/21,W,1,2,1,雨,13,6
5,札幌,柏,J1,第29節,札幌厚別,H,2017/10/14,W,3,3,0,晴,5,11
6,札幌,広島,J1,第28節,Ｅスタ,A,2017/09/30,D,0,1,1,晴,10,8
7,札幌,新潟,J1,第27節,札幌ド,H,2017/09/23,D,0,2,2,屋内,10,12
8,札幌,神戸,J1,第26節,神戸ユ,A,2017/09/16,L,-2,0,2,雨,9,15
9,札幌,磐田,J1,第25節,札幌ド,H,2017/09/09,W,1,2,1,屋内,11,6
10,札幌,仙台,J1,第24節,札幌厚別,H,2017/08/26,W,1,1,0,曇,11,10
11,札幌,川崎F,J1,第23節,等々力,A,2017/08/19,L,-1,1,2,雨一時雷雨,4,15
12,札幌,甲府,J1,第22節,札幌ド,H,2017/08/13,D,0,1,1,屋内,5,13
13,札幌,横浜FM,J1,第21節,札幌ド,H,2017/08/09,L,-2,0,2,屋内,11,17
14,札幌,C大阪,J1,第20節,金鳥スタ,A,2017/08/05,L,-2,1,3,曇のち雨,7,13
15,札幌,浦和,J1,第19節,札幌ド,H,2017/07/29,W,2,2,0,屋内,11,7
16,札幌,C大阪,ルヴァン,プレーオフ(2),金鳥スタ,A,2017/07/26,L,-1,0,1,晴,7,8
17,札幌,大宮,J1,第18節,NACK,A,2017/07/08,D,0,2,2,晴,8,10
18,札幌,清水,J1,第17節,札幌ド,H,2017/07/01,W,1,1,0,屋内,10,9
19,札幌,C大阪,ルヴァン,プレーオフ(1),札幌ド,H,2017/06/28,L,-2,0,2,屋内,11,11
20,札幌,柏,J1,第16節,柏,A,2017/06/25,L,-1,1,2,曇,10,11
21,札幌,いわきFC,天皇杯,2回戦,札幌厚別,H,2017/06/21,L,-3,2,5,雨,16,22
22,札幌,鹿島,J1,第15節,カシマ,A,2017/06/17,L,-3,0,3,晴,12,7
