,dte,match_type,match_round,stadium_HA,スコア,tm_opp,sh_for,sh_against,weather,stadium,J公式,tm,result,goals_for,goals_against,goals_difference,match_result
1,2017/12/02,J1,第34節,H,○ 3 - 2,鳥栖,9,7,屋内,札幌ド,詳細,札幌,W,3,2,1,W
2,2017/11/26,J1,第33節,A,○ 1 - 0,G大阪,5,5,曇,吹田Ｓ,詳細,札幌,W,1,0,1,W
3,2017/11/18,J1,第32節,A,○ 2 - 0,清水,7,7,雨のち曇,アイスタ,詳細,札幌,W,2,0,2,W
4,2017/10/29,J1,第31節,H,● 1 - 2,鹿島,4,12,屋内,札幌ド,詳細,札幌,L,1,2,-1,L
5,2017/10/21,J1,第30節,A,○ 2 - 1,FC東京,13,6,雨,味スタ,詳細,札幌,W,2,1,1,W
6,2017/10/14,J1,第29節,H,○ 3 - 0,柏,5,11,晴,札幌厚別,詳細,札幌,W,3,0,3,W
7,2017/09/30,J1,第28節,A,△ 1 - 1,広島,10,8,晴,Ｅスタ,詳細,札幌,D,1,1,0,D
8,2017/09/23,J1,第27節,H,△ 2 - 2,新潟,10,12,屋内,札幌ド,詳細,札幌,D,2,2,0,D
9,2017/09/16,J1,第26節,A,● 0 - 2,神戸,9,15,雨,神戸ユ,詳細,札幌,L,0,2,-2,L
10,2017/09/09,J1,第25節,H,○ 2 - 1,磐田,11,6,屋内,札幌ド,詳細,札幌,W,2,1,1,W
11,2017/08/26,J1,第24節,H,○ 1 - 0,仙台,11,10,曇,札幌厚別,詳細,札幌,W,1,0,1,W
12,2017/08/19,J1,第23節,A,● 1 - 2,川崎F,4,15,雨一時雷雨,等々力,詳細,札幌,L,1,2,-1,L
13,2017/08/13,J1,第22節,H,△ 1 - 1,甲府,5,13,屋内,札幌ド,詳細,札幌,D,1,1,0,D
14,2017/08/09,J1,第21節,H,● 0 - 2,横浜FM,11,17,屋内,札幌ド,詳細,札幌,L,0,2,-2,L
15,2017/08/05,J1,第20節,A,● 1 - 3,C大阪,7,13,曇のち雨,金鳥スタ,詳細,札幌,L,1,3,-2,L
16,2017/07/29,J1,第19節,H,○ 2 - 0,浦和,11,7,屋内,札幌ド,詳細,札幌,W,2,0,2,W
17,2017/07/26,ルヴァン,プレーオフ(2),A,● 0 - 1,C大阪,7,8,晴,金鳥スタ,詳細,札幌,L,0,1,-1,L
18,2017/07/08,J1,第18節,A,△ 2 - 2,大宮,8,10,晴,NACK,詳細,札幌,D,2,2,0,D
19,2017/07/01,J1,第17節,H,○ 1 - 0,清水,10,9,屋内,札幌ド,詳細,札幌,W,1,0,1,W
20,2017/06/28,ルヴァン,プレーオフ(1),H,● 0 - 2,C大阪,11,11,屋内,札幌ド,詳細,札幌,L,0,2,-2,L
21,2017/06/25,J1,第16節,A,● 1 - 2,柏,10,11,曇,柏,詳細,札幌,L,1,2,-1,L
22,2017/06/21,天皇杯,2回戦,H,● 2 - 5,いわきFC,16,22,雨,札幌厚別,,札幌,L,2,5,-3,L
23,2017/06/17,J1,第15節,A,● 0 - 3,鹿島,12,7,晴,カシマ,詳細,札幌,L,0,3,-3,L
24,2017/06/04,J1,第14節,H,● 1 - 2,神戸,12,10,屋内,札幌ド,詳細,札幌,L,1,2,-1,L
25,2017/05/31,ルヴァン,予選(7),H,○ 2 - 1,柏,9,9,曇,札幌厚別,詳細,札幌,W,2,1,1,W
26,2017/05/27,J1,第13節,A,● 0 - 1,鳥栖,6,8,晴,ベアスタ,詳細,札幌,L,0,1,-1,L
27,2017/05/24,ルヴァン,予選(6),H,● 1 - 2,仙台,13,15,屋内,札幌ド,詳細,札幌,L,1,2,-1,L
28,2017/05/20,J1,第12節,A,● 0 - 1,新潟,10,10,晴,デンカＳ,詳細,札幌,L,0,1,-1,L
29,2017/05/14,J1,第11節,H,● 0 - 2,G大阪,11,11,屋内,札幌ド,詳細,札幌,L,0,2,-2,L
30,2017/05/06,J1,第10節,H,○ 1 - 0,大宮,13,6,屋内,札幌ド,詳細,札幌,W,1,0,1,W
31,2017/05/03,ルヴァン,予選(4),A,● 0 - 1,FC東京,0,14,晴のち曇,味スタ,詳細,札幌,L,0,1,-1,L
32,2017/04/30,J1,第9節,A,△ 2 - 2,磐田,6,10,晴,ヤマハ,詳細,札幌,D,2,2,0,D
33,2017/04/26,ルヴァン,予選(3),H,△ 1 - 1,大宮,6,12,屋内,札幌ド,詳細,札幌,D,1,1,0,D
34,2017/04/22,J1,第8節,A,● 2 - 3,浦和,6,20,曇,埼玉,詳細,札幌,L,2,3,-1,L
35,2017/04/16,J1,第7節,H,△ 1 - 1,川崎F,13,9,屋内,札幌ド,詳細,札幌,D,1,1,0,D
36,2017/04/12,ルヴァン,予選(2),A,○ 1 - 0,清水,5,11,晴,アイスタ,詳細,札幌,W,1,0,1,W
37,2017/04/08,J1,第6節,H,○ 2 - 1,FC東京,20,8,屋内,札幌ド,詳細,札幌,W,2,1,1,W
38,2017/04/02,J1,第5節,A,● 0 - 2,甲府,3,5,曇,中銀スタ,詳細,札幌,L,0,2,-2,L
39,2017/03/18,J1,第4節,H,○ 2 - 1,広島,8,22,屋内,札幌ド,詳細,札幌,W,2,1,1,W
40,2017/03/15,ルヴァン,予選(1),A,○ 2 - 0,磐田,5,10,晴,ヤマハ,詳細,札幌,W,2,0,2,W
41,2017/03/11,J1,第3節,H,△ 1 - 1,C大阪,13,8,屋内,札幌ド,詳細,札幌,D,1,1,0,D
42,2017/03/04,J1,第2節,A,● 0 - 3,横浜FM,10,13,晴,ニッパツ,詳細,札幌,L,0,3,-3,L
43,2017/02/25,J1,第1節,A,● 0 - 1,仙台,7,12,曇,ユアスタ,詳細,札幌,L,0,1,-1,L
1,2017/12/02,J1,第34節,H,○ 3 - 2,鳥栖,9,7,屋内,札幌ド,詳細,札幌,W,3,2,1,W
2,2017/11/26,J1,第33節,A,○ 1 - 0,G大阪,5,5,曇,吹田Ｓ,詳細,札幌,W,1,0,1,W
3,2017/11/18,J1,第32節,A,○ 2 - 0,清水,7,7,雨のち曇,アイスタ,詳細,札幌,W,2,0,2,W
4,2017/10/29,J1,第31節,H,● 1 - 2,鹿島,4,12,屋内,札幌ド,詳細,札幌,L,1,2,-1,L
5,2017/10/21,J1,第30節,A,○ 2 - 1,FC東京,13,6,雨,味スタ,詳細,札幌,W,2,1,1,W
6,2017/10/14,J1,第29節,H,○ 3 - 0,柏,5,11,晴,札幌厚別,詳細,札幌,W,3,0,3,W
7,2017/09/30,J1,第28節,A,△ 1 - 1,広島,10,8,晴,Ｅスタ,詳細,札幌,D,1,1,0,D
8,2017/09/23,J1,第27節,H,△ 2 - 2,新潟,10,12,屋内,札幌ド,詳細,札幌,D,2,2,0,D
9,2017/09/16,J1,第26節,A,● 0 - 2,神戸,9,15,雨,神戸ユ,詳細,札幌,L,0,2,-2,L
10,2017/09/09,J1,第25節,H,○ 2 - 1,磐田,11,6,屋内,札幌ド,詳細,札幌,W,2,1,1,W
11,2017/08/26,J1,第24節,H,○ 1 - 0,仙台,11,10,曇,札幌厚別,詳細,札幌,W,1,0,1,W
12,2017/08/19,J1,第23節,A,● 1 - 2,川崎F,4,15,雨一時雷雨,等々力,詳細,札幌,L,1,2,-1,L
13,2017/08/13,J1,第22節,H,△ 1 - 1,甲府,5,13,屋内,札幌ド,詳細,札幌,D,1,1,0,D
14,2017/08/09,J1,第21節,H,● 0 - 2,横浜FM,11,17,屋内,札幌ド,詳細,札幌,L,0,2,-2,L
15,2017/08/05,J1,第20節,A,● 1 - 3,C大阪,7,13,曇のち雨,金鳥スタ,詳細,札幌,L,1,3,-2,L
16,2017/07/29,J1,第19節,H,○ 2 - 0,浦和,11,7,屋内,札幌ド,詳細,札幌,W,2,0,2,W
