tm,tm_jpn,tm_jpn_oficial,url_num
sapp,札幌,北海道コンサドーレ札幌,276
yama,山形,モンテディオ山形,294
mito,水戸,水戸ホーリーホック,176
gun,群馬,ザスパクサツ群馬,103
chib,千葉,ジェフユナイテッド千葉,121
tk-v,東京V,東京ヴェルディ,123
mcd,町田,ＦＣ町田ゼルビア,532
y-fc,横浜FC,横浜FC,296
mats,松本,松本山雅ＦＣ,528
kana,金沢,ツエーゲン金沢,526
shim,清水,清水エスパルス,126
gifu,岐阜,ＦＣ岐阜,302
kyot,京都,京都サンガF.C.,134
c-os,C大阪,セレッソ大阪,133
okay,岡山,ファジアーノ岡山,314
r-ya,山口,レノファ山口ＦＣ,953
sanu,讃岐,カマタマーレ讃岐,536
toku,徳島,徳島ヴォルティス,116
ehim,愛媛,愛媛ＦＣ,148
kiky,北九州,ギラヴァンツ北九州,313
ngsk,長崎,Ｖ・ファーレン長崎,531
kuma,熊本,ロアッソ熊本,303
send,仙台,ベガルタ仙台,238
kasm,鹿島,鹿島アントラーズ,120
uraw,浦和,浦和レッズ,122
omiy,大宮,大宮アルディージャ,199
kasw,柏,柏レイソル,132
y-fm,横浜FM,横浜Ｆ・マリノス,124
fctk,FC東京,ＦＣ東京,270
kofu,甲府,ヴァンフォーレ甲府,150
niig,新潟,アルビレックス新潟,193
iwat,磐田,ジュビロ磐田,131
g-os,G大阪,ガンバ大阪,128
kobe,神戸,ヴィッセル神戸,136
hiro,広島,サンフレッチェ広島,129
tosu,鳥栖,サガン鳥栖,269
aki,秋田,ブラウブリッツ秋田,310
fksm,福島,福島ユナイテッドＦＣ,674
mori,盛岡,グルージャ盛岡,673
yscc,YS横浜,Ｙ．Ｓ．Ｃ．Ｃ．横浜,675
sagm,SC相模原,ＳＣ相模原,676
naga,長野,ＡＣ長野パルセイロ,535
toya,富山,カターレ富山,308
fuji,藤枝,藤枝ＭＹＦＣ,677
numa,沼津,アスルクラロ沼津,813
totr,鳥取,ガイナーレ鳥取,300
kufc,鹿児島,鹿児島ユナイテッドＦＣ,812
ryuk,琉球,ＦＣ琉球,317
fct,F東23,ＦＣ東京Ｕ?２３,825
g-23,G大23,ガンバ大阪Ｕ?２３,826
c-23,C大23,セレッソ大阪Ｕ?２３,827
oita,大分,大分トリニータ,207
fuku,福岡,アビスパ福岡,135
toch,栃木,栃木SC,305
kwsk,川崎F,川崎フロンテール,86
syon,湘南,湘南ベルマーレ,130
nago,名古屋,名古屋グランパス,127
